ClientID,JoinDate,Gender,Married,Birth,MarvelFavoriteCharacter,Occupation,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of Galaxy 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home
W0MHFGK,1/8/2019,M,M,1972,Iron Man,politicians,10,10,10,-1,3,-1,10,7,2,1,-1,1,8,-1,-1,-1,4,-1,9,10,3,2,6,2,1,9,-1
JHEMPTM,1/10/2019,F,S,1992,Spider-Man,politicians,7,-1,2,3,9,-1,1,5,2,8,-1,0,6,3,3,10,1,10,6,-1,8,9,10,10,5,4,10
X6CDJ0V,1/10/2017,M,M,1985,Thanos,shopkeepers,-1,5,-1,3,5,10,-1,10,1,-1,10,3,-1,10,7,-1,7,-1,10,8,10,10,8,6,-1,-1,8
4XWCAN0,1/12/2016,F,M,1991,Captain America,hotel/restaurant,0,10,-1,8,10,1,-1,7,10,-1,-1,3,10,8,7,9,3,-1,5,2,2,7,-1,-1,-1,8,-1
JZNTQRK,1/11/2018,F,S,1970,Captain America,engineers,3,2,1,-1,10,9,2,7,10,10,8,1,10,-1,5,3,-1,0,9,3,-1,-1,6,-1,7,8,9
QS2HWBJ,1/11/2011,M,U,1978,Iron Man,hotel/restaurant,10,2,10,-1,3,9,10,7,-1,9,5,4,-1,4,-1,3,-1,6,-1,4,9,6,8,8,10,-1,8
1KUCIUK,1/11/2018,M,M,1956,Black Widow,politicians,-1,4,-1,3,-1,-1,-1,1,6,10,6,-1,9,3,10,-1,8,-1,-1,-1,5,-1,9,10,5,-1,1
5KCYW6A,1/7/2018,F,S,1976,Spider-Man,politicians,5,2,9,9,-1,-1,7,8,-1,-1,9,-1,5,9,8,10,5,1,8,1,-1,10,10,5,-1,7,10
CGDLP3R,1/6/2015,M,M,1954,Captain America,shopkeepers,10,2,0,-1,10,-1,-1,5,10,-1,2,-1,10,-1,-1,3,8,-1,5,-1,10,5,4,5,4,1,5
PU44179,1/10/2018,F,M,1986,Captain America,politicians,-1,3,0,7,10,-1,0,3,10,-1,7,6,10,3,5,1,8,4,-1,9,-1,9,7,9,-1,8,-1
3KMWKIJ,1/4/2017,M,M,1974,Black Widow,hotel/restaurant,3,6,8,2,4,5,5,7,-1,1,9,-1,-1,-1,-1,8,4,7,4,3,4,-1,-1,10,-1,4,-1
FQSY4S8,1/1/2020,F,S,1987,Captain America,politicians,5,3,-1,10,10,-1,-1,3,10,-1,7,4,10,9,9,-1,4,2,0,-1,1,7,-1,2,4,2,3
0P4PVY7,1/5/2019,M,M,1995,Thanos,politicians,3,6,0,8,0,10,3,10,9,9,10,4,7,0,6,1,6,-1,10,4,-1,10,3,-1,2,6,-1
AJ0O8OM,1/3/2020,F,S,1973,Groot,doctors,9,0,-1,7,3,-1,4,2,7,10,2,2,3,-1,10,10,2,-1,2,-1,4,2,2,3,7,-1,5
148AUMK,1/8/2016,M,M,1979,Black Widow,hotel/restaurant,0,-1,-1,3,-1,8,7,0,0,-1,2,-1,6,2,0,5,10,-1,10,-1,-1,6,7,10,6,-1,10
PGO8R4M,1/10/2018,F,M,1971,Thanos,politicians,1,-1,8,2,-1,10,3,-1,-1,5,10,-1,-1,-1,-1,-1,-1,8,10,0,4,10,2,9,4,-1,8
U8FJ7P7,1/10/2019,M,M,1987,Pepper Potts,politicians,10,10,10,2,-1,-1,10,2,8,4,1,-1,-1,2,7,-1,1,0,9,9,-1,-1,-1,-1,5,6,-1
6UM2IFL,1/7/2017,M,M,1988,Iron Man,politicians,10,-1,10,0,-1,7,10,6,-1,9,5,-1,-1,10,-1,-1,-1,-1,5,5,-1,6,6,3,-1,2,0
HLI0N5B,1/5/2019,M,M,1969,MJ,shopkeepers,1,3,-1,0,-1,9,2,4,10,9,-1,3,-1,5,1,10,2,8,3,-1,1,5,10,1,1,-1,10
CUJHT6M,1/1/2020,M,M,1990,Doctor Strange,politicians,7,7,6,1,0,-1,-1,-1,2,0,5,3,7,10,1,9,-1,3,10,3,4,3,6,-1,-1,-1,0
9NVBC8Y,1/8/2019,F,S,1974,Groot,politicians,-1,2,-1,-1,-1,0,-1,7,2,10,10,10,-1,10,10,0,-1,0,0,3,6,0,6,-1,0,4,9
JCPZXJK,1/6/2020,M,M,1984,Thor,politicians,3,2,6,10,7,-1,-1,10,-1,-1,-1,4,5,8,9,1,10,10,6,-1,9,-1,7,3,3,5,3
1IQ9L9U,1/6/2017,F,M,1968,Groot,politicians,-1,7,9,4,2,-1,6,1,2,10,-1,4,6,8,10,5,5,3,4,-1,2,6,2,6,-1,8,6
HQ3GAMW,1/8/2013,M,W,1969,Captain America,politicians,-1,-1,-1,7,10,4,9,3,10,10,-1,2,10,-1,-1,-1,-1,9,-1,1,-1,-1,0,-1,9,5,2
OHRGUNM,1/8/2017,M,S,1994,Groot,hotel/restaurant,9,9,4,10,3,1,-1,10,-1,10,-1,2,-1,-1,10,-1,8,0,4,1,5,6,-1,8,5,10,6
SN70FSD,1/4/2018,F,M,1994,Iron Man,shopkeepers,10,8,10,9,-1,6,10,0,6,-1,-1,7,10,3,1,-1,9,0,5,2,4,4,9,3,-1,5,7
Z0B19EO,1/4/2019,F,M,1983,Captain America,politicians,4,6,2,-1,10,-1,2,-1,10,0,6,1,10,-1,9,-1,8,10,-1,-1,9,6,7,8,0,0,0
BG7S8FZ,1/4/2019,M,M,1985,MJ,shopkeepers,5,0,-1,1,-1,10,5,5,1,-1,3,10,-1,10,2,10,6,4,10,0,2,-1,10,-1,6,4,10
ARHC1LP,1/12/2019,M,M,1974,Thanos,politicians,6,-1,7,8,4,10,0,-1,-1,-1,10,-1,-1,10,6,4,-1,-1,10,6,7,10,0,9,-1,7,-1
B39STQT,1/11/2017,F,S,1984,Loki,politicians,3,-1,1,10,5,9,3,10,10,8,3,-1,2,-1,5,4,10,2,2,7,4,3,-1,6,8,-1,10
14LTTF8,1/10/2019,M,S,1995,Groot,politicians,7,-1,10,6,4,0,-1,9,6,10,2,-1,6,-1,10,2,10,1,9,5,3,-1,4,-1,5,3,2
ITVXYVD,1/6/2017,F,M,1978,Spider-Man,shopkeepers,8,2,9,9,-1,7,-1,0,-1,5,4,1,4,6,-1,10,9,-1,2,1,-1,7,10,4,-1,-1,10
SXAHODH,1/3/2019,M,M,1968,Groot,freelancers,3,-1,4,-1,3,8,1,9,6,10,-1,-1,5,10,10,6,0,-1,-1,3,8,5,9,4,-1,-1,8
XU6JSW3,1/12/2015,M,M,1966,Loki,politicians,2,-1,0,10,2,1,6,10,6,8,8,7,-1,-1,-1,1,10,4,-1,10,8,2,1,-1,-1,7,2
IS144EB,1/2/2018,M,M,1983,Pepper Potts,hotel/restaurant,10,9,10,9,1,-1,10,-1,-1,2,-1,-1,-1,-1,6,4,-1,-1,6,5,4,-1,1,-1,4,6,1
KY6QC26,1/8/2012,M,S,1986,Captain America,politicians,9,1,5,8,10,-1,-1,1,10,7,2,-1,10,0,-1,8,8,1,9,8,10,6,-1,7,-1,9,-1
ALU0RP1,1/9/2019,M,M,1969,Thor,hotel/restaurant,8,-1,-1,10,7,-1,8,10,5,6,9,6,-1,-1,-1,8,10,-1,-1,-1,2,7,4,4,9,9,-1
9NJB9ZE,1/10/2019,F,M,1960,Groot,politicians,-1,10,2,5,9,5,-1,0,1,10,7,1,10,5,10,2,-1,8,10,1,10,6,8,9,8,-1,0
79G8IE3,1/1/2019,F,M,1974,Groot,politicians,7,1,6,-1,5,1,3,3,7,10,10,5,-1,2,10,5,-1,10,4,6,10,4,-1,0,10,4,10
E2M7J0Z,1/12/2016,M,M,1990,Iron Man,hotel/restaurant,10,6,10,0,9,5,10,-1,3,2,8,-1,-1,-1,4,-1,1,0,1,0,-1,7,2,4,10,-1,4
7P8HIYU,1/5/2018,M,M,1963,Spider-Man,shopkeepers,-1,7,2,0,10,3,0,-1,4,5,10,1,-1,-1,7,10,10,-1,2,-1,-1,-1,10,9,6,6,10
DXX6T4F,1/7/2020,F,M,1969,Spider-Man,hotel/restaurant,2,3,-1,8,4,10,-1,5,-1,0,4,7,-1,8,7,10,-1,1,4,6,5,9,10,1,6,10,10
PL5TPVR,1/1/2019,F,S,1989,Black Widow,politicians,-1,4,5,7,-1,-1,-1,-1,10,5,2,10,4,5,2,3,5,-1,5,4,7,10,9,10,7,-1,8
U8BFLF2,1/3/2020,M,M,1983,Ant-Man,politicians,-1,1,5,10,-1,9,4,9,-1,0,9,10,6,-1,-1,8,-1,-1,6,10,-1,3,-1,8,-1,-1,4
0UH74R9,1/3/2013,M,M,1973,Groot,politicians,-1,2,0,-1,4,7,-1,7,3,10,1,5,9,8,10,4,7,7,0,9,-1,-1,5,1,-1,-1,-1
T2VE4AF,1/6/2019,M,M,1979,Thanos,politicians,7,9,-1,10,5,10,5,-1,1,7,10,8,7,3,1,2,4,0,10,8,6,10,10,0,-1,6,6
G1S7IH1,1/6/2015,M,M,1975,Pepper Potts,politicians,10,10,10,-1,3,6,10,4,-1,9,-1,6,0,1,-1,7,-1,-1,-1,-1,3,8,7,7,4,-1,-1
8GHHSNY,1/5/2019,M,D,1966,Captain America,engineers,6,10,3,-1,10,7,3,-1,10,-1,7,7,10,10,1,8,9,9,5,-1,4,-1,2,-1,4,-1,9
8PBDB1H,1/6/2019,M,M,1987,Iron Man,politicians,10,10,10,-1,-1,1,10,-1,1,9,6,1,4,2,-1,7,10,-1,3,9,6,-1,7,0,0,5,-1
EYCX65O,1/10/2019,M,M,1991,Black Widow,politicians,-1,2,9,-1,0,-1,5,6,-1,3,7,6,7,8,2,3,5,3,-1,4,8,2,-1,10,4,-1,4
YZ9YP42,1/6/2018,M,M,1989,Captain America,freelancers,0,1,1,1,10,7,2,8,10,9,2,0,10,7,9,-1,2,9,1,4,-1,6,-1,0,3,-1,3
Z4KYSXS,1/10/2017,F,S,1971,Groot,hotel/restaurant,7,-1,8,4,6,4,3,2,7,10,0,3,-1,2,10,6,3,4,0,6,0,9,2,3,-1,-1,-1
776NUFF,1/9/2017,M,M,1971,Black Widow,politicians,1,-1,6,-1,-1,-1,7,7,0,0,9,2,6,1,5,10,7,-1,10,3,10,6,-1,10,6,0,7
F27B23A,1/5/2018,F,M,1984,Iron Man,politicians,10,-1,10,3,3,-1,10,-1,4,9,0,9,-1,-1,4,-1,6,-1,5,0,2,-1,9,2,-1,6,1
CKNZ3XP,1/6/2019,M,M,1982,Groot,politicians,-1,4,-1,-1,9,2,-1,9,9,10,9,1,7,7,10,6,3,2,3,-1,-1,9,-1,10,-1,0,9
E1RODUR,1/6/2019,M,M,1970,Iron Man,politicians,10,-1,10,-1,-1,-1,10,7,-1,10,-1,1,-1,1,0,7,6,0,-1,-1,9,3,10,-1,6,-1,0
VQMBVDL,1/12/2019,M,M,1984,Thor,politicians,-1,1,-1,10,-1,1,-1,10,0,-1,-1,5,5,3,4,0,10,6,-1,-1,-1,2,6,-1,8,-1,-1
U4MT2VW,1/12/2019,F,M,1971,Loki,politicians,10,3,-1,10,-1,7,2,10,6,10,0,-1,6,4,-1,5,10,-1,4,9,0,-1,3,1,2,4,2
U7B4REC,1/3/2016,M,M,1980,Captain America,politicians,-1,3,8,8,10,3,3,4,10,1,4,-1,10,-1,-1,-1,-1,4,-1,8,4,6,-1,7,-1,8,5
A5YO6EY,1/4/2018,M,M,1977,Black Widow,shopkeepers,10,-1,6,-1,3,8,10,-1,2,4,5,1,-1,-1,3,5,6,-1,9,-1,-1,2,8,10,-1,-1,8
TYTVMEW,1/3/2019,M,M,1990,Spider-Man,politicians,-1,7,9,3,-1,8,9,2,-1,2,6,2,3,-1,9,10,4,9,9,1,8,0,10,9,9,-1,10
8PLPID5,1/5/2018,M,S,1997,MJ,shopkeepers,-1,10,-1,-1,4,9,-1,4,1,2,7,8,6,7,9,10,5,8,9,9,10,6,10,-1,-1,1,10
TOTMS0F,1/5/2018,M,M,1989,Iron Man,shopkeepers,10,4,10,-1,7,-1,10,4,4,-1,4,8,-1,2,4,-1,-1,2,1,6,0,-1,0,-1,8,9,3
BT5BOAZ,1/3/2018,M,M,1978,Iron Man,politicians,10,1,10,7,5,10,10,-1,-1,2,0,8,8,-1,2,-1,-1,-1,9,-1,-1,1,-1,-1,-1,-1,1
R3U4ONA,1/4/2018,M,M,1977,Groot,shopkeepers,7,4,1,0,7,-1,10,-1,6,10,1,-1,7,5,10,-1,-1,1,9,9,9,-1,7,-1,4,8,9
V3GSYAM,1/5/2019,F,S,1968,Captain America,politicians,-1,-1,8,4,10,1,6,3,10,1,3,5,10,-1,3,-1,0,-1,10,2,-1,-1,8,2,10,0,4
SSWZ4OE,1/4/2019,M,M,1992,Iron Man,politicians,10,9,10,-1,-1,4,10,8,8,-1,2,6,2,7,-1,-1,10,5,-1,-1,1,1,-1,4,8,-1,-1
4EPVIF9,1/2/2018,F,M,1989,Captain America,politicians,-1,6,-1,9,10,8,3,7,10,1,9,10,10,-1,-1,6,5,-1,3,-1,-1,4,-1,6,3,4,1
BX1T3LE,1/5/2015,F,M,1970,Spider-Man,politicians,-1,4,3,-1,0,10,9,2,-1,6,6,1,-1,6,-1,10,-1,7,-1,3,2,-1,10,2,10,5,10
5U1BON1,1/2/2019,M,M,1991,Spider-Man,politicians,1,2,3,10,-1,-1,1,10,-1,10,5,-1,-1,3,8,10,8,-1,2,4,-1,7,10,9,-1,4,10
V5PQNPP,1/11/2016,M,M,1970,Iron Man,hotel/restaurant,10,-1,10,7,2,7,10,-1,-1,-1,8,2,-1,-1,4,2,4,7,-1,-1,0,6,6,-1,10,-1,6
HQS3S8P,1/4/2020,F,M,1979,Iron Man,politicians,10,1,10,-1,-1,-1,10,8,3,-1,4,9,-1,10,3,1,-1,-1,4,1,7,10,-1,-1,5,3,7
OCUK7RS,1/1/2019,M,M,1971,Spider-Man,politicians,2,6,-1,-1,-1,10,1,-1,2,8,-1,-1,2,-1,6,10,0,4,3,7,-1,3,10,6,8,-1,10
B6ZM933,1/12/2017,M,M,1965,Iron Man,engineers,10,4,10,4,10,-1,10,6,3,10,6,-1,-1,9,8,-1,1,-1,8,-1,7,10,8,-1,6,-1,0
J92AVR8,1/8/2019,M,M,1986,Doctor Strange,hotel/restaurant,-1,-1,-1,0,2,0,10,10,1,6,4,7,-1,10,5,-1,-1,5,8,-1,4,-1,0,3,5,-1,4
8SYNR58,1/3/2017,M,M,1984,Iron Man,politicians,10,-1,10,-1,7,-1,10,-1,-1,1,6,6,6,-1,0,4,-1,3,2,6,4,4,-1,-1,-1,10,8
SKPWAUO,1/4/2020,M,M,1971,Captain America,politicians,2,3,-1,4,10,-1,4,-1,10,7,4,1,10,7,9,5,4,6,5,6,3,6,-1,4,0,-1,4
UTBTCQT,1/3/2020,M,M,1985,Spider-Man,politicians,2,5,9,-1,10,9,8,-1,2,1,3,-1,8,6,-1,10,0,2,-1,-1,4,-1,10,5,10,10,10
IRXS72D,1/7/2019,M,M,1979,Groot,hotel/restaurant,2,5,-1,7,-1,-1,0,7,8,10,-1,2,6,-1,10,5,10,10,0,8,-1,9,3,5,2,0,-1
DJ3YKQQ,1/6/2020,M,M,1981,Groot,freelancers,7,4,6,-1,10,3,7,9,6,10,6,1,-1,8,10,3,-1,4,9,7,4,6,9,0,2,10,-1
16HO17G,1/2/2020,M,M,1984,Spider-Man,politicians,7,6,7,-1,0,-1,-1,3,6,10,-1,9,6,3,5,10,2,9,4,5,-1,10,10,5,10,2,10
TFPVV3A,1/1/2015,M,U,1984,Iron Man,freelancers,10,-1,10,-1,2,-1,10,4,7,8,-1,-1,-1,8,1,9,9,9,-1,9,4,-1,5,2,6,6,4
GNG17A2,1/10/2017,M,M,1979,Groot,freelancers,3,6,-1,8,-1,-1,3,-1,5,10,-1,-1,9,-1,10,-1,-1,-1,8,-1,9,-1,4,10,-1,4,-1
QWF9T1Q,1/4/2018,M,M,1973,Black Widow,politicians,-1,7,1,6,5,-1,-1,2,8,8,-1,1,1,-1,6,3,-1,-1,-1,-1,4,6,-1,10,1,3,8
IL1SH0S,1/9/2019,M,M,1983,Black Widow,politicians,10,-1,6,-1,-1,1,-1,2,-1,8,2,7,9,9,3,-1,4,-1,-1,7,8,4,2,10,1,-1,-1
8WDF88U,1/1/2018,M,M,1984,Thanos,politicians,8,-1,-1,-1,9,10,5,10,-1,1,10,3,1,7,9,10,5,4,10,5,9,10,1,-1,9,3,1
OQ8SCY0,1/12/2016,M,M,1984,Groot,politicians,8,1,7,6,-1,6,-1,9,3,10,-1,0,-1,5,10,10,5,9,2,-1,-1,-1,-1,-1,-1,-1,7
NE4V84W,1/7/2019,M,M,1966,Iron Man,politicians,10,-1,10,-1,9,9,10,9,-1,9,10,-1,4,-1,-1,3,-1,2,-1,7,10,-1,-1,-1,-1,-1,-1
2BP3HKO,1/12/2016,M,M,1988,Groot,politicians,-1,-1,1,4,-1,3,0,-1,-1,10,-1,7,0,9,10,1,-1,2,-1,8,10,4,10,8,7,1,7
V4AZ2H2,1/5/2018,M,M,1985,Iron Man,hotel/restaurant,10,2,10,1,5,5,10,0,10,7,2,7,-1,0,10,-1,7,-1,-1,5,-1,10,1,0,1,6,10
UWCJI5I,1/12/2016,M,M,1968,Spider-Man,politicians,6,5,5,-1,-1,0,0,4,6,5,1,2,0,7,4,10,6,8,-1,-1,-1,7,10,2,-1,2,10
NJ68PBQ,1/10/2018,M,M,1982,Spider-Man,politicians,10,-1,-1,-1,10,7,9,3,7,-1,1,7,7,5,-1,10,0,7,9,-1,9,9,10,9,5,9,10
X38Y2AC,1/6/2020,M,S,1990,Loki,politicians,10,-1,1,10,-1,1,10,10,7,7,-1,7,2,2,6,3,10,-1,9,5,-1,-1,2,-1,5,-1,-1
SQUVGKT,1/2/2020,M,M,1969,Iron Man,politicians,10,-1,10,9,9,9,10,-1,-1,1,8,10,6,8,9,1,-1,-1,10,-1,-1,3,10,0,-1,10,3
8ZDY24B,1/4/2019,M,M,1979,MJ,politicians,0,1,1,1,-1,5,0,10,9,8,4,2,3,-1,6,10,1,2,-1,-1,4,2,10,1,8,4,10
I9K690R,1/6/2017,M,M,1992,Spider-Man,shopkeepers,5,10,10,1,-1,3,1,-1,8,1,3,6,9,6,-1,10,10,3,-1,0,-1,3,10,-1,10,-1,10
0EOKK60,1/11/2011,M,U,1986,Iron Man,hotel/restaurant,10,8,10,3,7,-1,10,6,0,2,-1,-1,5,8,-1,0,8,8,8,-1,6,7,1,2,5,9,1
07NMWZK,1/4/2018,M,M,1979,Spider-Man,shopkeepers,-1,5,-1,8,0,-1,-1,-1,-1,10,0,9,3,1,-1,10,6,4,8,5,3,9,10,3,5,-1,10
KLUFN72,1/8/2017,M,M,1969,Spider-Man,politicians,5,0,0,6,8,-1,-1,10,2,1,9,9,-1,10,10,10,10,2,0,-1,-1,2,10,7,5,0,10
G1KAO0K,1/5/2019,M,M,1982,Captain America,engineers,-1,-1,5,-1,10,-1,-1,5,10,6,-1,4,10,-1,10,7,3,0,-1,6,2,8,5,4,5,-1,-1
F6FAVI9,1/4/2018,M,M,1991,Spider-Man,shopkeepers,8,6,-1,3,-1,8,-1,-1,4,-1,8,9,2,9,0,10,5,3,-1,0,-1,-1,10,9,3,4,10
0VWMDZQ,1/9/2019,F,M,1975,Captain America,politicians,7,7,-1,-1,10,10,2,8,10,9,6,2,10,3,5,2,6,-1,9,-1,6,3,3,8,7,8,9
ADS1PWS,1/11/2019,M,M,1977,Thanos,hotel/restaurant,8,9,1,7,8,10,2,-1,6,-1,10,3,9,-1,-1,8,-1,10,10,4,9,10,4,9,3,2,10
6U0PBK5,1/3/2017,M,U,1970,Iron Man,politicians,10,6,10,6,-1,5,10,-1,-1,2,5,8,5,-1,-1,-1,6,-1,7,5,-1,9,8,-1,2,3,3
RT8G9NW,1/5/2018,M,M,1966,Iron Man,shopkeepers,10,3,10,9,9,1,10,-1,5,4,9,7,-1,-1,3,2,5,-1,0,-1,2,5,8,-1,-1,-1,-1
Z91IAYJ,1/5/2015,M,M,1968,Iron Man,politicians,10,5,10,-1,0,3,10,5,9,-1,1,9,-1,6,-1,7,7,2,2,9,2,-1,2,0,-1,4,10
57KQBDD,1/5/2014,M,M,1981,Iron Man,politicians,10,9,10,0,10,0,10,4,7,10,0,6,-1,-1,8,4,3,9,4,6,1,9,1,7,1,-1,0
6D7ZRAB,1/1/2018,M,M,1973,Captain America,politicians,-1,7,0,6,10,6,4,-1,10,-1,7,5,10,7,-1,1,-1,-1,8,2,5,-1,-1,7,9,-1,-1
ZM63E7H,1/3/2020,M,M,1971,Iron Man,politicians,10,6,10,2,4,-1,10,5,-1,3,-1,-1,-1,4,-1,-1,0,0,4,9,10,6,9,1,9,-1,9
6VI4DWR,1/12/2016,M,M,1975,Spider-Man,politicians,9,7,8,10,10,4,-1,7,-1,0,6,0,-1,-1,7,10,10,8,10,3,4,0,10,5,0,5,10
AQZRKCZ,1/12/2017,F,M,1983,Thanos,hotel/restaurant,9,10,1,10,-1,10,-1,8,-1,1,10,4,4,3,4,0,9,2,10,3,0,10,5,4,7,1,7
M50PSWJ,1/9/2018,M,M,1987,Captain America,engineers,6,-1,6,9,10,6,0,7,10,-1,-1,-1,10,9,-1,7,4,-1,2,6,0,4,-1,5,-1,-1,10
FQDSKLX,1/4/2018,M,M,1989,Spider-Man,shopkeepers,-1,5,2,-1,-1,0,5,-1,0,7,8,-1,9,-1,3,10,5,10,9,-1,-1,1,10,7,5,9,10
THXHNIU,1/6/2017,M,U,1959,Iron Man,politicians,10,2,10,-1,1,3,10,5,6,-1,-1,-1,5,-1,-1,0,9,3,5,-1,-1,0,-1,5,7,-1,5
WCZ6S43,1/10/2011,F,U,1967,Captain America,politicians,-1,3,-1,-1,10,7,-1,0,10,7,2,-1,10,7,0,-1,-1,3,4,9,-1,-1,4,7,-1,9,1
9C06TBS,1/4/2020,M,M,1993,Doctor Strange,politicians,-1,7,9,9,-1,6,3,5,2,-1,10,2,-1,10,2,-1,8,1,-1,1,4,-1,-1,7,1,-1,2
7P33K9M,1/9/2016,M,M,1971,Groot,shopkeepers,2,-1,1,10,8,4,1,4,6,10,3,4,0,10,10,3,-1,8,9,2,9,5,8,10,6,8,8
VGEUHIR,1/4/2020,M,M,1974,Spider-Man,shopkeepers,5,6,4,6,4,-1,4,-1,9,-1,-1,7,0,0,0,10,10,8,-1,-1,7,-1,10,5,1,1,10
FHJB09P,1/2/2018,M,M,1979,Iron Man,politicians,10,-1,10,-1,10,1,10,4,5,2,0,8,8,-1,10,0,5,3,1,0,6,10,9,-1,5,3,3
YALBXDG,1/10/2012,M,U,1961,Iron Man,politicians,10,-1,10,6,2,-1,10,9,3,10,10,9,4,0,1,-1,-1,3,8,-1,-1,4,3,3,10,-1,-1
KYS4840,1/2/2018,M,M,1991,Iron Man,politicians,10,-1,10,9,5,-1,10,1,-1,7,4,1,0,2,3,1,10,10,-1,-1,1,3,2,9,8,-1,-1
2XPRTZW,1/10/2017,F,M,1983,Pepper Potts,politicians,10,0,10,10,5,9,10,-1,2,7,10,6,1,10,8,6,10,6,-1,-1,2,-1,0,2,10,-1,-1
3Q90HOF,1/9/2011,F,U,1975,Iron Man,politicians,10,7,10,4,-1,-1,10,-1,0,8,9,7,10,1,0,10,-1,-1,10,8,-1,-1,9,8,3,0,1
DUL8Q7J,1/6/2019,F,M,1995,Spider-Man,politicians,0,4,9,4,4,-1,-1,8,-1,9,9,-1,-1,0,-1,10,-1,2,7,7,0,3,10,1,8,8,10
V25KLR1,1/9/2016,M,S,1990,Iron Man,freelancers,10,9,10,4,-1,0,10,-1,4,-1,-1,7,-1,8,-1,3,-1,4,-1,-1,-1,4,8,0,1,-1,7
WD42IKF,1/3/2020,M,U,1974,Iron Man,politicians,10,-1,10,-1,8,2,10,-1,-1,-1,2,9,3,0,3,-1,-1,9,7,8,9,6,0,7,-1,-1,-1
2R4SA7Z,1/7/2015,F,M,1960,Iron Man,politicians,10,3,10,9,3,3,10,-1,7,10,3,7,3,6,2,-1,2,0,0,-1,-1,10,0,5,0,-1,2
JVTVIJC,1/5/2018,M,M,1980,MJ,shopkeepers,9,0,1,6,1,5,1,8,-1,-1,9,0,-1,1,-1,10,7,7,-1,-1,8,2,10,-1,-1,4,10
U6B1UZR,1/8/2018,M,M,1983,Thanos,politicians,2,7,7,0,-1,10,2,7,-1,6,10,-1,2,-1,-1,-1,3,1,10,0,10,10,3,-1,2,-1,4
1XMHIX0,1/5/2019,F,S,1975,Iron Man,hotel/restaurant,10,2,10,0,6,-1,10,-1,10,9,-1,-1,2,-1,6,4,-1,5,1,-1,-1,10,1,5,4,0,-1
KRSRI6T,1/5/2020,M,M,1985,Groot,freelancers,1,0,8,10,3,10,4,7,2,10,10,9,6,1,10,8,0,8,10,1,4,10,9,9,-1,-1,-1
IZHM0X4,1/4/2018,M,S,1979,Spider-Man,shopkeepers,1,-1,7,-1,6,-1,0,-1,-1,9,-1,6,0,9,6,10,-1,-1,9,0,10,5,10,3,-1,-1,10
TEOVGXD,1/9/2019,M,M,1985,Spider-Man,hotel/restaurant,-1,3,-1,0,-1,0,-1,0,3,4,10,2,5,9,5,10,3,-1,-1,10,7,3,10,10,-1,-1,10
IGGQSZR,1/3/2020,M,M,1960,Groot,politicians,4,-1,5,-1,3,-1,4,-1,-1,10,9,8,-1,3,10,-1,-1,2,10,-1,5,4,10,4,-1,-1,-1
OA775VA,1/3/2020,F,M,1982,Doctor Strange,politicians,5,5,-1,4,6,6,-1,4,6,6,8,10,0,10,-1,8,1,0,3,1,-1,-1,0,0,-1,8,6
AXA88P8,1/8/2017,M,M,1989,Spider-Man,shopkeepers,-1,-1,6,-1,7,5,-1,1,1,3,0,5,9,7,-1,10,-1,8,6,0,5,-1,10,9,2,-1,10
URX6KRP,1/4/2019,F,M,1975,Doctor Strange,shopkeepers,0,10,8,0,1,0,0,-1,-1,0,-1,5,-1,10,-1,-1,-1,2,3,0,9,-1,-1,6,-1,10,-1
6II2CON,1/7/2019,M,M,1985,Black Widow,politicians,2,-1,8,8,2,8,7,3,5,-1,8,10,4,-1,8,10,-1,10,-1,2,9,4,9,10,9,4,10
FCZULVE,1/2/2014,M,U,1972,Captain America,hotel/restaurant,1,10,0,10,10,-1,-1,9,10,4,3,-1,10,-1,9,0,8,4,0,4,-1,4,-1,-1,2,7,0
9XD64K0,1/10/2019,M,M,1972,Groot,freelancers,5,4,7,-1,0,3,7,10,0,10,-1,0,2,1,10,-1,9,8,-1,-1,6,5,10,6,10,10,4
U6Y0GJX,1/11/2018,M,M,1980,Iron Man,politicians,10,8,10,-1,-1,-1,10,1,4,7,8,3,10,3,5,-1,5,6,9,3,-1,3,-1,-1,1,1,-1
0BI6SA8,1/1/2018,F,M,1983,Thanos,politicians,7,10,1,-1,6,10,-1,-1,4,10,10,0,7,9,-1,2,-1,5,10,4,2,10,2,-1,-1,4,0
T9SC5J6,1/10/2017,M,S,1979,Thanos,politicians,-1,3,5,3,4,10,8,7,5,1,10,4,8,7,4,-1,8,-1,10,4,6,10,9,3,-1,5,2
TJ4P2SQ,1/2/2019,F,M,1969,Thanos,politicians,5,-1,9,-1,10,10,10,-1,6,-1,10,9,-1,10,7,3,-1,2,10,8,6,10,-1,-1,8,1,2
9G48B9Z,1/8/2019,M,M,1982,Doctor Strange,shopkeepers,2,6,6,2,9,3,-1,5,10,-1,-1,3,-1,10,6,4,-1,0,1,-1,9,1,2,-1,4,1,-1
